"Serial Number","Cardheadger Serial Number",Name,"Grading Co","Grading Co Serial Number",Year,Set,"Card Number",Parallel,Grade,Category,Price
11971,1649639079004x726132887710206500,"John Stockton",PSA,28456864,1988,Fleer,127,Base,"PSA 8",basketball,17.00
12031,1649639079004x726132887710206500,"John Stockton",PSA,28456869,1988,Fleer,127,Base,"PSA 8",basketball,17.00
11999,1649638992614x853427454634855300,"Larry Bird",PSA,28456893,1988,Fleer,9,Base,"PSA 8",basketball,15.50
12000,1649638992614x853427454634855300,"Larry Bird",PSA,28456896,1988,Fleer,9,Base,"PSA 8",basketball,15.50
12538,1587245456890x709596395824742400,"Scottie Pippen",PSA,28456902,1988,Fleer,20,Base,"PSA 7",Basketball,32.88
12539,1587245456890x709596395824742400,"Scottie Pippen",PSA,28456903,1988,Fleer,20,Base,"PSA 7",Basketball,32.88
12229,1636504120864x124085568953384960,"Dominique Wilkins",PSA,28456919,1988,Fleer,5,Base,"PSA 8",Basketball,16.05
12230,1636504120864x124085568953384960,"Dominique Wilkins",PSA,28456920,1988,Fleer,5,Base,"PSA 8",Basketball,16.05
12231,1636504120864x124085568953384960,"Dominique Wilkins",PSA,28456921,1988,Fleer,5,Base,"PSA 8",Basketball,16.05
11997,1649638998953x602340994935163000,"Mark Price",PSA,28456928,1988,Fleer,25,Base,"PSA 8",basketball,17.95
11998,1649638998953x602340994935163000,"Mark Price",PSA,28456930,1988,Fleer,25,Base,"PSA 8",basketball,17.95
11996,1649638998953x602340994935163000,"Mark Price",PSA,28456931,1988,Fleer,25,Base,"PSA 8",basketball,17.95
12004,1636341720187x487017225498411970,"Clyde Drexler",PSA,28456937,1988,Fleer,92,Base,"PSA 8",basketball,12.00
12002,1636341720187x487017225498411970,"Clyde Drexler",PSA,28456938,1988,Fleer,92,Base,"PSA 8",basketball,12.00
12001,1636341720187x487017225498411970,"Clyde Drexler",PSA,28456939,1988,Fleer,92,Base,"PSA 8",basketball,12.00
11992,,"Akeem Olajuwon",PSA,28456943,1988,Fleer,,53,"PSA 8",basketball,
11993,,"Akeem Olajuwon",PSA,28456944,1988,Fleer,,53,"PSA 8",basketball,
11994,,"Akeem Olajuwon",PSA,28456954,1988,Fleer,,53,"PSA 8",basketball,
12898,1587397870119x446821943220633600,"John Stockton",PSA,28456958,1988,Fleer,115,Base,"PSA 8",Basketball,29.25
12897,1587397870119x446821943220633600,"John Stockton",PSA,28456965,1988,Fleer,115,Base,"PSA 8",Basketball,29.25
12913,1587397870119x446821943220633600,"John Stockton",PSA,28456967,1988,Fleer,115,Base,"PSA 8",Basketball,29.25
12012,1649639048356x524847704488521340,"Karl Malone",PSA,28456972,1988,Fleer,114,Base,"PSA 8",basketball,14.00
12014,1649639048356x524847704488521340,"Karl Malone",PSA,28456973,1988,Fleer,114,Base,"PSA 8",basketball,14.00
12011,1649639048356x524847704488521340,"Karl Malone",PSA,28456976,1988,Fleer,114,Base,"PSA 8",basketball,14.00
12013,1649639048356x524847704488521340,"Karl Malone",PSA,28456979,1988,Fleer,114,Base,"PSA 8",basketball,14.00
12003,1649638998136x834745030351635700,"Magic Johnson",PSA,28456985,1988,Fleer,67,Base,"PSA 8",basketball,16.50
12007,1649638998136x834745030351635700,"Magic Johnson",PSA,28456988,1988,Fleer,67,Base,"PSA 8",basketball,16.50
13204,1649639077553x164109239405464640,"Chris Mullin",PSA,28456989,1988,Fleer,48,Base,"PSA 8",Basketball,8.00
13203,1649639077553x164109239405464640,"Chris Mullin",PSA,28456991,1988,Fleer,48,Base,"PSA 8",Basketball,8.00
12507,,"Tyrone Bogues",PSA,28456994,1988,Fleer,13,base,"PSA 8",Basketball,
12392,1587765822525x926354810331463700,"Dennis Rodman",PSA,28457000,1988,Fleer,43,Base,"PSA 8",Basketball,38.02
12396,1587765822525x926354810331463700,"Dennis Rodman",PSA,28457006,1988,Fleer,43,Base,"PSA 8",Basketball,38.02
12017,1646279359797x481502860456755200,"Charles Barkley",PSA,28457008,1988,Fleer,85,Base,"PSA 8",basketball,13.00
12016,1646279359797x481502860456755200,"Charles Barkley",PSA,28457009,1988,Fleer,85,Base,"PSA 8",basketball,13.00
12015,1646279359797x481502860456755200,"Charles Barkley",PSA,28457014,1988,Fleer,85,Base,"PSA 8",basketball,13.00
12221,1649639146993x600915109587177500,"Horace Grant",PSA,28457015,1988,Fleer,16,Base,"PSA 8",Basketball,10.50
12223,1649639146993x600915109587177500,"Horace Grant",PSA,28457020,1988,Fleer,16,Base,"PSA 8",Basketball,10.50
12227,1649639146993x600915109587177500,"Horace Grant",PSA,28457023,1988,Fleer,16,Base,"PSA 8",Basketball,10.50
12222,1649639146993x600915109587177500,"Horace Grant",PSA,28457024,1988,Fleer,16,Base,"PSA 8",Basketball,10.50
12407,1649639146993x600915109587177500,"Horace Grant",PSA,28457029,1988,Fleer,16,Base,"PSA 9",Basketball,24.99
11196,,"Dark golbat ",PSA,28855336,2000,"Pokémon rocket ",7,"Holo 1st edition","PSA 7",Pokemon,
11207,1646715295509x337588567911993860,"Articuno Holo",PSA,28954693,1999,"Pokemon Fossil",2,"1st Edition","PSA 9",Pokemon,330.00
13321,1606834027057x159337862545801200,"Michael Jordan",SGC,3010285,1988,Fleer,120,Base,"SGC 7",Basketball,62.27
12060,1587765822525x926354810331463700,"Dennis Rodman",PSA,30423741,1988,Fleer,43,Base,"PSA 9",basketball,149.50
10159,1644971188289x213986031913077540,"Anthony Edwards ",SGC,3047387,2020,Optic,151,"Purple Pulsar","SGC 9","Basketball ",
10860,1639871747000x919431856051026400,"Juan Soto",SGC,3068505,2018,"Topps Update",US300,Base,"SGC 9.5","Baseball ",
12448,1649642565148x885278313111355400,"Robin Yount",PSA,30771152,1975,SSPC,238,Base,"PSA 10",Baseball,101.00
10796,1645060080412x547248974700129660,"Coby White",SGC,3080367,2019,Chronicles,95,Base,"SGC 9","Basketball ",
13352,,"Sydney Crosby",PSA,31817224,2006,"Upper Deck",5,"Phenomenal Beginnings","PSA 9",,
13278,,"Derek Jeter",PSA,31846166,2007,Topps,40,"bush/mantle-red back","PSA 8",Baseball,
11746,,"Bobby Witt Jr.",SGC,3228383,2020,"Bowman Chrome Prospects",,BCP160,"SGC 10",baseball,
12566,1609983877589x398696431331360600,"Zion Williamson",SGC,3256536,2019,Donruss,201,Base,"SGC 8.5",Basketball,15.00
10863,1639887515637x191116639908738720,"Shohei Ohtani",SGC,3417646,2018,"Topps Finest",100,Base,"SGC 10","Baseball ",61.01
12464,1606879806545x537145074418188300,"Bo Bichette",SGC,3447745,2020,"Topps Chrome",150,Base,"SGC 10",Baseball,19.00
10161,1644991904152x896056391829224000,"Zion Williamson",SGC,3506167,2020,Select,2,Base,"SGC 10","Basketball ",
11238,,"Randy Arozarena",SGC,3556548,2020,Optic,"RRS Randy ","Holo Prizm Signature ","SGC 9.5",Baseball,
13176,1600460493770x426761053613466940,"Michael Jordan",SGC,3561463,1990,Fleer,5,Base,"SGC 9",Basketball,17.00
10519,1597101323685x377131561037856800,"Marvin Bagley",SGC,3631300,2018,Prizm,181,Base,"SGC 8.5","Basketball ",15.52
11142,,"Charizard Holo",SGC,3656161,2016,"Pokemon Evolutions",11,Holo,"SGC 8",Pokemon,
10533,1640724335478x641996222470811800,"Zach Wilson",SGC,3661861,2021,Donruss,252,"Press Proof Premium","SGC 9.5",Football,
11230,1626535577453x747324651934285800,"Tom Brady","SGC ",3665380,2020,Optic,92,Base,"SGC 10",Football,53.00
10861,1639871747000x919431856051026400,"Juan Soto",SGC,3681338,2018,"Topps Update",US300,Base,"SGC 9.5","Baseball ",
13380,,"Justin Jefferson",SGC,3710421,2020,Absolute,168,retail,"SGC 9.5",,
11138,,Pidgeot,CGC,3749183052,1996,"Pokemon Japanese",,Holo,"CGC 9",Pokemon,
10862,,"Buster Posey",SGC,3834050,2010,"Topps Chrome Update",221,"Wrapper Refractor","SGC 9","Baseball ",
13370,,"Tyler Johnson",SGC,3857446,2020,XR,142,"Red /249","SGC 7.5",,
11148,,Mewtwo,CGC,3858384004,2016,"Pokemon Evolutions",51/108,,"CGC 8.5",Pokemon,
11145,,Kyogre,CGC,3858384012,2004,"Pokemon ",3/95,"Team Aqua","CGC 8.5",Pokemon,
11146,,Kyogre,CGC,3858384013,2004,Pokemon,3/95,"Team Aqua","CGC 8.5",Pokemon,
"Serial Number","Cardheadger Serial Number",Name,"Grading Co","Grading Co Serial Number",Year,Set,"Card Number",Parallel,Grade,Category,Price
12938,1614664415150x823981795474931700,"Jaromir Jagr",PSA,40756978,1990,Score,428,Base,"PSA 9",Hockey,18.50
12937,1614664415150x823981795474931700,"Jaromir Jagr",PSA,40756979,1990,Score,428,Base,"PSA 9",Hockey,18.50
12860,,"Tom Glavine",PSA,41067519,2001,Topps,146,"Employee Set","PSA 8",Baseball,
12441,1620261838704x710912339610959900,"Kyler Murray",SGC,4158483,2019,Donruss,302,Base,"SGC 9.5",Football,29.00
11156,,"Ditto Holo",PSA,41593090,1999,Pokemoon,3,"1st edition","PSA 7",Pokemon,
12935,1614664415150x823981795474931700,"Jaromir Jagr",PSA,41838913,1990,Score,428,Base,"PSA 9",Hockey,18.50
12390,1614664415150x823981795474931700,"Jaromir Jagr",PSA,41838922,1990,Score,428,Base,"PSA 9",Hockey,18.50
12936,1614664415150x823981795474931700,"Jaromir Jagr",PSA,41838924,1990,Score,428,Base,"PSA 9",Hockey,18.50
13476,1588653673934x285163952874717200,"John Elway",PSA,42140385,1984,Topps,63,Base,"PSA 8",,121.25
12562,1649644102044x159031990741893120,"Terrell Davis",PSA,42497835,1995,SP,130,Base,"PSA 9",Football,31.00
12563,1649644102044x159031990741893120,"Terrell Davis",PSA,42497837,1995,SP,130,Base,"PSA 9",Football,31.00
11229,1645057346415x705896474930381000,"Tom Brady",SGC,4261166,2020,Select,1,"Silver Prizm","SGC 9.5",Football,29.99
12053,1600460506801x799247994498636500,"Michael Jordan",PSA,42624097,1988,Fleer,17,Base,"PSA 9",basketball,299.99
12902,1649818588320x528903739508630200,"Chuck Person",PSA,42682501,1987,Fleer,10,Base,"PSA 8",Basketball,45.00
12682,1626882916973x113113377412218880,"Tiger Woods",SGC,4272422,2001,"Upper Deck",1,Base,"SGC 9",Golf,59.95
12603,1588547920808x185965403169095700,"Ken Griffey Jr",PSA,42754385,1989,Donruss,33,Base,"PSA 8",Baseball,15.00
12475,,"Bryce Harper",PSA,42754400,2011,"Bowman Chrome Prospects",BCP1,Auto,"PSA 9",baseball,
12917,1651102815953x412667369229910000,"Yoenis Cespedes",PSA,42754403,2012,Topps,396,"Base - White Jersey","PSA 10",Baseball,12.99
12918,1651102213650x266632874382852100,"Brett Lawrie",PSA,42754404,2012,Topps,462,"Base - Fielding","PSA 10",Baseball,7.98
12242,1589155687435x173058343278477300,"Jim Kelly",PSA,42941840,1987,Topps,362,Base,"PSA 9",Football,119.95
10045,1585927856600x724268501592440800,"Luka Doncic",PSA,43061605,2018,Prizm,280,Base,"PSA 10","Basketball ",365.00
12596,,"Randy Johnson",PSA,43245665,1989,"Upper Deck  ",25,"Star Rookie","PSA 9",Baseball,
12056,1587245456890x709596395824742400,"Scottie Pippen",PSA,43407275,1988,Fleer,20,Base,"PSA 9",basketball,151.65
10389,,"Derek Jeter",PSA,43546029,1993,SP,,,"PSA 6","Baseball ",
11176,,"Venasaur Holo",PSA,43555161,2000,Pokemon,18,"Base 2","PSA 7",Pokemon,
10512,1645060086777x455128604950318700,"Jaren Jackson ",SGC,4365728,2018,Prizm,22,Base,"SGC 9","Basketball ",
10525,1640724363439x472416023216634560,"Najee Harris",SGC,4371783,2021,Donruss,259,"Press Proof Premium","SGC 9.5",Football,38.00
12930,1620263722294x550566637779025900,"Pavel Bure",PSA,43914537,1990,"Upper Deck",526,Base,"PSA 7",Hockey,12.00
12541,1649639146993x600915109587177500,"Horace Grant",PSA,44046526,1988,"Fleer ",16,Base,"PSA 9",Basketball,24.99
12408,1649639146993x600915109587177500,"Horace Grant",PSA,44046527,1988,Fleer,16,Base,"PSA 9",Basketball,24.99
10587,,"Wander Franco",PSA,44105325,2019,Bowman,WF,"30th Anniv.","PSA 9",Baseball,
12217,1649639146993x600915109587177500,"Horace Grant",PSA,44314198,1988,Fleer,16,Base,"PSA 9",Basketball,24.99
12537,1600460506801x799247994498636500,"Michael Jordan",PSA,44470081,1988,Fleer,17,Base,"PSA 6",Basketball,56.75
10797,1645060081349x970446715631324500,"Michael Soroka",PSA,44478763,2015,"Bowman Draft",181,Base,"PSA 9","Baseball ",1.04
11233,1586440104670x177761748501135360,"Lamar Jackson",PSA,44567938,2018,Prizm,212,Base,"PSA 9",Football,60.99
10684,1586440104670x177761748501135360,"Lamar Jackson",PSA,44605967,2018,"Panini Prizm",212,Base,"PSA 9",Football,60.99
10027,1601777210180x786837475343204400,"Anthony Davis",PSA,44693309,2012,"Past Present",237,Base,"PSA 10","Basketball ",46.00
11210,1646615760156x415308908321202940,"Hitmonchan Holo",PSA,44726748,1999,Pokemon,7,Shadowless,"PSA 7",Pokemon,26.00
10516,,"Sam Darnold",PSA,44901328,2018,"Panini Elite DP",101,"Purple Die Cut","PSA 9",Football,
10668,,"Christian McCaffrey",PSA,44955224,2017,"Panini Donruss Optic",168,,"PSA 10",Football,
12062,1587765822525x926354810331463700,"Dennis Rodman",PSA,45106844,1988,Fleer,43,Base,"PSA 9",basketball,149.50
10687,1586440104670x177761748501135360,"Lamar Jackson",PSA,45109584,2018,"Panini Prizm",212,Base,"PSA 9",Football,60.99
12079,,"Wander Franco",PSA,45369768,2019,"Topps Heritage","Minor League",1,"PSA 10",baseball,
10059,1585877320490x939291489654014000,"Trae Young",PSA,45387147,2018,Prizm,78,Base,"PSA 10","Basketball ",3673.66
11975,1649639079004x726132887710206500,"John Stockton",PSA,45410271,1988,Fleer,127,Base,"PSA 8",basketball,17.00
10064,1644886693311x754089318800530400,"Trae Young",PSA,45537662,2018,Optic,198,"Hyper Pink","psa 9","Basketball ",
10685,1586440104670x177761748501135360,"Lamar Jackson",PSA,45555156,2018,"Panini Prizm",212,Base,"PSA 9",Football,60.99
10060,1585877320490x939291489654014000,"Trae Young",PSA,45844203,2018,Prizm,78,Base,"PSA 10","Basketball ",3673.66
11248,,"Dark Houndoom","PSA ",45954548,2002,"Pokemon Neo",7,Holo,"PSA 9",Pokemon,
10710,1585892029604x723586526067556400,"Zion Williamson",PSA,46004289,2019,"Panini Prizm",248,Base,"PSA 10","Basketball ",197.00
11115,1585892029604x723586526067556400,"Zion Williamson",PSA,46004292,2019,Prizm,248,Base,"PSA 9","Basketball ",57.50
12341,1607294219732x996297298643861400,"Bo Jackson",PSA,46045902,1989,Score,384S,Base,"PSA 9",Football,36.00
13039,1606834027057x159337862545801200,"Michael Jordan",PSA,46057436,1988,Fleer,120,Base,"PSA 7",Basketball,98.99
13040,1606834027057x159337862545801200,"Michael Jordan",PSA,46057437,1988,Fleer,120,Base,"PSA 7",Basketball,98.99
12958,1650345845872x249155645346345920,"Andre Dawson",PSA,46083198,1978,Topps,72,Base,"PSA 8",Baseball,52.99
12959,1650345845872x249155645346345920,"Andre Dawson",PSA,46083199,1978,Topps,72,Base,"PSA 8",Baseball,52.99
12960,1650999661103x164575163478442000,"Ron Guidry",PSA,46083200,1978,Topps,135,Base,"PSA 8",Baseball,39.95
12961,1650345828620x661443866034716200,"Jim Palmer",PSA,46083201,1978,Topps,160,Base,"PSA 8",Baseball,15.50
"Serial Number","Cardheadger Serial Number",Name,"Grading Co","Grading Co Serial Number",Year,Set,"Card Number",Parallel,Grade,Category,Price
12969,1650345863611x496826197921618160,"Tom Seaver",PSA,46083206,1978,Topps,450,Base,"PSA 8",Baseball,34.89
12970,1650345839558x381328985316113900,"Jim Hunter",PSA,46083207,1978,Topps,460,Base,"PSA 8",Baseball,14.95
11688,1611010356966x183925336864456700,"Fred McGriff",PSA,46083223,1986,Donruss,28,Base,"PSA 9",baseball,67.50
12078,,"Wander Franco",PSA,46083239,2019,"Topps Heritage","Minor League",1,"PSA 10",baseball,
12077,,"Wander Franco",PSA,46083240,2019,"Topps Heritage","Minor League",1,"PSA 10",baseball,
12863,1651111974153x109151258328956930,"Cortez Kennedy",PSA,46083264,1990,"Action Packed",39,Base,"PSA 8",Football,13.00
12600,1614384317109x734192641632895000,"Ken Griffey Jr",PSA,46178639,1989,"Score Traded",100T,Base,"PSA 9",Baseball,20.50
12602,1614384317109x734192641632895000,"Ken Griffey Jr",PSA,46178641,1989,"Score Traded",100T,Base,"PSA 9",Baseball,20.50
11058,,"RJ Barret",PSA,46268310,2019,"Contenders Draft",3,"Game Day Ticket","PSA 9","Basketball ",
10870,,"Ronald Acuna Jr.",PSA,46316610,2018,"Topps Chrome Update",IA-RA,"Int'l Affair","PSA 10","Baseball ",
10502,1644770380241x558381964488302340,"Ja Morant",PSA,46316957,2019,Optic,7,Base,"PSA 10","Basketball ",52.99
10494,1599249550702x147380328720623900,"Ja Morant",PSA,46317002,2019,Prizm,249,"Red White and Blue","PSA 10","Basketball ",279.00
11191,1646795152980x129827398087168700,"Vileplume Holo",PSA,46408274,1999,"Pokemon Jungle",15,"1st Edition","PSA 7",Pokemon,30.00
11212,,"Dark machamp ",PSA,46408327,2000,"Pokémon rocket ",10,Holo,"PSA 8",Pokemon,
12471,1590119969007x759826042470006800,"Yordan Alvarez",PSA,46409105,2020,"Topps ",276,"Base - Orange Jersey","PSA 10",Baseball,63.50
11153,1646715317845x397722376882540860,"Dragonite Holo",PSA,46451794,1999,"Pokemon Fossil",4,"1st Edition","PSA 7",Pokemon,135.01
10046,1638805831717x334448779678919040,"Luka Doncic",PSA,46461775,2018,Optic,177,"Hyper Pink","PSA 9","Basketball ",240.00
10707,,"Ja Morant",PSA,46464062,2019,"Panini Optic",168,Purple,"PSA 10","Basketball ",
12081,,"Wander Franco",PSA,46481552,2019,"Bowman Draft",Chrome-Fielding,BDC93,"PSA 10",baseball,
12082,,"Wander Franco",PSA,46481556,2019,"Bowman Draft",Chrome-Fielding,BDC93,"PSA 10",baseball,
12080,,"Wander Franco",PSA,46481557,2019,"Bowman Draft",Chrome-Fielding,BDC93,"PSA 10",baseball,
12084,,"Wander Franco",PSA,46481560,2019,"Bowman Draft",Chrome-Fielding,BDC93,"PSA 10",baseball,
12083,,"Wander Franco",PSA,46481561,2019,"Bowman Draft",Chrome-Fielding,BDC93,"PSA 10",baseball,
12085,,"Wander Franco",PSA,46481568,2019,"Bowman Draft",Chrome-Fielding,BDC93,"PSA 10",baseball,
12086,,"Wander Franco",PSA,46481570,2019,"Bowman Draft",Chrome-Fielding,BDC93,"PSA 10",baseball,
10306,1609036034751x727967192551109500,"tom Brady ",SGC,4665372,2020,Mosaic,135,"Mosaic Camo Pink","SGC 9 ",Football,
12476,,"Wander Franco",PSA,46678714,2019,"Bowman Prospects",BP100,base,"PSA 9",baseball,
11200,,"Jumpluff - Holo",PSA,46691958,1999,"Pokemon Masters - Japanese",189,Holo,"PSA 8",Pokemon,
12948,,"Pete Alonso",PSA,46710192,2019,"Topps Holiday",71,Base,"PSA 8",Baseball,
12947,,"Pete Alonso",PSA,46710193,2019,"Topps Holiday",71,Base,"PSA 8",Baseball,
12945,,"Pete Alonso",PSA,46710196,2019,"Topps Holiday",71,Base,"PSA 8",Baseball,
10065,1585877320490x939291489654014000,"Trae Young",PSA,46725869,2018,Prizm,78,Base,"psa 10","Basketball ",
10854,,"Shohei Ohtani",SGC,4672802,2018,"Topps Chrome Update",150,,"SGC 10","Baseball ",
10006,1590727984326x208597480660271100,"Zion Williamson",PSA,46787200,2019,Optic,158,Base,"PSA 9","Basketball ",25.42
12946,,"Pete Alonso",PSA,46787531,2019,"Topps Holiday",71,Base,"PSA 8",Baseball,
12944,,"Pete Alonso",PSA,46787537,2019,"Topps Holiday",71,base,"PSA 8",Baseball,
12943,,"Pete Alonso",PSA,46787538,2019,"Topps Holiday",71,base,"PSA 8",Baseball,
11195,,"Clefairy Holo",PSA,46838994,2000,Pokemon,6,"Base 2 ","PSA 8",Pokemon,
11202,,"Kangaskhan ",PSA,46838998,1999,"Pokémon jungle",5,"Holo ","PSA 8",Pokemon,
11215,,"Ninetales Holo",PSA,46839018,2000,Pokemon,13,"Base 2","PSA 9",Pokemon,
12432,1626752539353x997208164154736600,"Baker Mayfield",PSA,46912771,2018,Donruss,303,Base,"PSA 10",Football,34.00
12433,1626752539353x997208164154736600,"Baker Mayfield",PSA,46912798,2018,Donruss,303,Base,"PSA 10",Football,34.00
12434,1626752539353x997208164154736600,"Baker Mayfield",PSA,46912800,2018,Donruss,303,Base,"PSA 10",Football,34.00
12949,,"Pete Alonso",PSA,46971558,2019,"Topps Holiday",71,Base,"PSA 8",Baseball,
12962,,"Pete Alonso",PSA,46971559,2019,"Topps Holiday",71,base,"PSA 8",Baseball,
12963,,"Pete Alonso",PSA,46971565,2019,"Topps Holiday",71,base,"PSA 8",Baseball,
12125,1587930907613x947962791230439400,"Bo Jackson",PSA,47000437,1988,Topps,327,Base,"PSA 9",football,50.79
12504,1607294219732x996297298643861400,"Bo Jackson",PSA,47036169,1989,Score,384S,Base,"PSA 9",Football,36.00
12546,1643935627338x201710334837522430,"Troy Aikman",PSA,47143621,1989,"Topps Traded",70T,Base,"PSA 9",Football,23.99
12342,1643935627338x201710334837522430,"Troy Aikman",PSA,47143631,1989,"Topps Traded",70T,Base,"PSA 9",Football,23.99
12545,1643935627338x201710334837522430,"Troy Aikman",PSA,47143632,1989,"Topps Traded",70T,Base,"PSA 9",Football,23.99
12556,1643935627338x201710334837522430,"Troy Aikman",PSA,47143633,1989,"Topps Traded",70T,Base,"PSA 9",Football,23.99
10022,,"Kevin Durant",PSA,47143644,2007,Topps,2,White,"PSA 9","Basketball ",
13067,1603131759007x983834441130714500,"Kevin McHale",PSA,47150349,1981,Topps,75,East,"PSA 8",Basketball,32.00
13064,1603131759007x983834441130714500,"Kevin McHale",PSA,47150351,1981,Topps,75,East,"PSA 8",Basketball,32.00
13063,1603131759007x983834441130714500,"Kevin McHale",PSA,47150352,1981,Topps,75,East,"PSA 8",Basketball,32.00
13066,1603131759007x983834441130714500,"Kevin McHale",PSA,47150376,1981,Topps,75,East,"PSA 8",Basketball,32.00
13061,1603131759007x983834441130714500,"Kevin McHale",PSA,47150382,1981,Topps,75,East,"PSA 8",Basketball,32.00
13065,1603131759007x983834441130714500,"Kevin McHale",PSA,47150383,1981,Topps,75,East,"PSA 8",Basketball,32.00
12696,1624854440747x107764130355085310,"Bo Jackson",PSA,47307100,1990,Score,697,Base,"PSA 9",Baseball,35.26
12697,1624854440747x107764130355085310,"Bo Jackson",PSA,47307101,1990,Score,697,Base,"PSA 9",Baseball,35.26
12695,1624854440747x107764130355085310,"Bo Jackson",PSA,47307103,1990,Score,697,Base,"PSA 9",Baseball,35.26
12694,1624854440747x107764130355085310,"Bo Jackson",PSA,47307109,1990,Score,697,Base,"PSA 9",Baseball,35.26
12693,1624854440747x107764130355085310,"Bo Jackson",PSA,47307113,1990,Score,697,Base,"PSA 9",Baseball,35.26
12707,1624854440747x107764130355085310,"Bo Jackson",PSA,47307121,1990,Score,697,Base,"PSA 9",Baseball,35.26
12701,1624854440747x107764130355085310,"Bo Jackson",PSA,47307124,1990,Score,697,Base,"PSA 9",Baseball,35.26
12702,1624854440747x107764130355085310,"Bo Jackson",PSA,47307126,1990,Score,697,Base,"PSA 9",Baseball,35.26
12700,1624854440747x107764130355085310,"Bo Jackson",PSA,47307128,1990,Score,697,Base,"PSA 9",Baseball,35.26
12698,1624854440747x107764130355085310,"Bo Jackson",PSA,47307133,1990,Score,697,Base,"PSA 9",Baseball,35.26
"Serial Number","Cardheadger Serial Number",Name,"Grading Co","Grading Co Serial Number",Year,Set,"Card Number",Parallel,Grade,Category,Price
12699,1624854440747x107764130355085310,"Bo Jackson",PSA,47307134,1990,Score,697,Base,"PSA 9",Baseball,35.26
12236,1589155687435x173058343278477300,"Jim Kelly",PSA,47308597,1987,Topps,362,Base,"PSA 9",Football,119.95
12406,1589155687435x173058343278477300,"Jim Kelly",PSA,47308599,1987,Topps,362,Base,"PSA 9",Football,119.95
12243,1589155687435x173058343278477300,"Jim Kelly",PSA,47308600,1987,Topps,362,Base,"PSA 9",Football,119.95
12234,1589155687435x173058343278477300,"Jim Kelly",PSA,47308601,1987,Topps,362,Base,"PSA 9",Football,119.95
12235,1589155687435x173058343278477300,"Jim Kelly",PSA,47308602,1987,Topps,362,Base,"PSA 9",Football,119.95
12239,1589155687435x173058343278477300,"Jim Kelly",PSA,47308603,1987,Topps,362,Base,"PSA 9",Football,119.95
12240,1589155687435x173058343278477300,"Jim Kelly",PSA,47308604,1987,Topps,362,Base,"PSA 9",Football,119.95
12241,1589155687435x173058343278477300,"Jim Kelly",PSA,47308609,1987,Topps,362,Base,"PSA 9",Football,119.95
12237,1589155687435x173058343278477300,"Jim Kelly",PSA,47308610,1987,Topps,362,Base,"PSA 9",Football,119.95
12238,1589155687435x173058343278477300,"Jim Kelly",PSA,47308611,1987,Topps,362,Base,"PSA 9",Football,119.95
12688,1649634913533x359014839656644600,"Herschel Walker",PSA,47319747,1985,"Topps USFL",86,Base,"PSA 9",Football,72.00
10011,1590727984326x208597480660271100,"Zion Williamson",PSA,47390277,2019,Optic,158,Base,"PSA 9","Basketball ",25.42
12467,1651000299793x260103822371454980,"Fernando Tatis Jr ",SGC,4741424,2019,"Topps Holiday",HW126,Base,"SGC 9.5",Baseball,39.00
12713,1624854440747x107764130355085310,"Bo Jackson",PSA,47468430,1990,Score,697,Base,"PSA 9",Baseball,35.26
12717,1624854440747x107764130355085310,"Bo Jackson",PSA,47468431,1990,Score,697,Base,"PSA 9",Baseball,35.26
12708,1624854440747x107764130355085310,"Bo Jackson",PSA,47468434,1990,Score,697,Base,"PSA 9",Baseball,35.26
12703,1624854440747x107764130355085310,"Bo Jackson",PSA,47468438,1990,Score,697,Base,"PSA 9",Baseball,35.26
12704,1624854440747x107764130355085310,"Bo Jackson",PSA,47468440,1990,Score,697,Base,"PSA 9",Baseball,35.26
12705,1624854440747x107764130355085310,"Bo Jackson",PSA,47468442,1990,Score,697,Base,"PSA 9",Baseball,35.26
12714,1624854440747x107764130355085310,"Bo Jackson",PSA,47468467,1990,Score,697,Base,"PSA 9",Baseball,35.26
12716,1624854440747x107764130355085310,"Bo Jackson",PSA,47468488,1990,Score,697,Base,"PSA 9",Baseball,35.26
12715,1624854440747x107764130355085310,"Bo Jackson",PSA,47468490,1990,Score,697,Base,"PSA 9",Baseball,35.26
12691,1624854440747x107764130355085310,"Bo Jackson",PSA,47468492,1990,Score,697,Base,"PSA 9",Baseball,35.26
12706,1624854440747x107764130355085310,"Bo Jackson",PSA,47468493,1990,Score,697,Base,"PSA 9",Baseball,35.26
12690,1624854440747x107764130355085310,"Bo Jackson",PSA,47468500,1990,Score,697,Base,"PSA 9",Baseball,35.26
12692,1624854440747x107764130355085310,"Bo Jackson",PSA,47468502,1990,Score,697,Base,"PSA 9",Baseball,35.26
12875,1646880879645x887532873108208800,"Bo Jackson",PSA,47469987,1987,Donruss,35,Base,"PSA 9",Baseball,32.00
12883,1646880879645x887532873108208800,"Bo Jackson",PSA,47469988,1987,Donruss,35,Base,"PSA 9",Baseball,32.00
12877,1646880879645x887532873108208800,"Bo Jackson",PSA,47469990,1987,Donruss,35,Base,"PSA 9",Baseball,32.00
12876,1646880879645x887532873108208800,"Bo Jackson",PSA,47469991,1987,Donruss,35,Base,"PSA 9",Baseball,32.00
12873,1646880879645x887532873108208800,"Bo Jackson",PSA,47469993,1987,Donruss,35,Base,"PSA 9",Baseball,32.00
12886,1646880879645x887532873108208800,"Bo Jackson",PSA,47469997,1987,Donruss,35,Base,"PSA 9",Baseball,32.00
